# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
4.000000e+02 4.500000e+02 1.488128e-01 4.710951e-05 4.710951e-05
4.500000e+02 5.000000e+02 1.546574e-01 5.610678e-05 5.610678e-05
5.000000e+02 5.500000e+02 1.598407e-01 6.646126e-05 6.646126e-05
5.500000e+02 6.000000e+02 1.645072e-01 7.877427e-05 7.877427e-05
6.000000e+02 6.500000e+02 1.687673e-01 5.827469e-05 5.827469e-05
6.500000e+02 7.000000e+02 1.726940e-01 6.071277e-05 6.071277e-05
7.000000e+02 7.500000e+02 1.763529e-01 6.668780e-05 6.668780e-05
7.500000e+02 8.000000e+02 1.797875e-01 7.388348e-05 7.388348e-05
8.000000e+02 8.500000e+02 1.830352e-01 8.212986e-05 8.212986e-05
8.500000e+02 9.000000e+02 1.861318e-01 9.141495e-05 9.141495e-05
9.000000e+02 9.500000e+02 1.891020e-01 1.020404e-04 1.020404e-04
9.500000e+02 1.000000e+03 1.919651e-01 1.146218e-04 1.146218e-04
1.000000e+03 1.100000e+03 1.958619e-01 4.865234e-05 4.865234e-05
1.100000e+03 1.200000e+03 2.011394e-01 5.284377e-05 5.284377e-05
1.200000e+03 1.300000e+03 2.062052e-01 6.103023e-05 6.103023e-05
1.300000e+03 1.400000e+03 2.111264e-01 7.091258e-05 7.091258e-05
1.400000e+03 1.600000e+03 2.176633e-01 6.135192e-05 6.135192e-05
1.600000e+03 1.800000e+03 2.270748e-01 8.305416e-05 8.305416e-05
1.800000e+03 2.000000e+03 2.363244e-01 1.122845e-04 1.122845e-04
2.000000e+03 2.200000e+03 2.454891e-01 3.412233e-05 3.412233e-05
2.200000e+03 2.400000e+03 2.545901e-01 4.037142e-05 4.037142e-05
2.400000e+03 2.600000e+03 2.636380e-01 5.167723e-05 5.167723e-05
2.600000e+03 2.800000e+03 2.726034e-01 6.665501e-05 6.665501e-05
2.800000e+03 3.000000e+03 2.814520e-01 8.619322e-05 8.619322e-05
3.000000e+03 6.500000e+03 2.945655e-01 8.015811e-05 8.015811e-05
# END HISTO1D

# BEGIN HISTO1D aj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.747281e-01 -3.279948e-05 -3.279948e-05
4.000000e+01 5.000000e+01 -1.403519e-01 -4.155629e-05 -4.155629e-05
