# ptlow, pthigh, etalow, etahigh, correction, uncertainty
38.0  40.0  -0.4    -0.2    0.99045794247  0.0226296918271
40.0  42.0  -0.4    -0.2    1.0003610418   0.0226891607984
42.0  44.0  -0.4    -0.2    1.00604664775  0.022763607006
44.0  46.0  -0.4    -0.2    1.00217272239  0.0228813412263
46.0  48.0  -0.4    -0.2    1.0003995266   0.0227180851892
48.0  50.0  -0.4    -0.2    1.00327972725  0.0232241896458
50.0  55.0  -0.4    -0.2    0.997973153583 0.0231739956651
55.0  60.0  -0.4    -0.2    0.997418103578 0.0239268053783
60.0  65.0  -0.4    -0.2    0.989144496912 0.0239330190882
65.0  70.0  -0.4    -0.2    1.00466124807  0.0264329579329
70.0  80.0  -0.4    -0.2    0.997480096187 0.024597341886
80.0  90.0  -0.4    -0.2    0.994735119767 0.0254238755922
90.0  100.0 -0.4    -0.2    1.00846690758  0.0256185866188
100.0 120.0 -0.4    -0.2    0.997433232591 0.0242836778322
120.0 200.0 -0.4    -0.2    0.996110858387 0.0235377464302
25.0  28.0  -0.2    0.0     0.724263020539 0.0288870173464
28.0  30.0  -0.2    0.0     0.79071513711  0.0211420210651
30.0  32.0  -0.2    0.0     0.866905908895 0.0220183872223
32.0  34.0  -0.2    0.0     0.942483170996 0.0225294244578
34.0  36.0  -0.2    0.0     0.957442758085 0.0224626689603
36.0  38.0  -0.2    0.0     0.958160820717 0.0221134317502
38.0  40.0  -0.2    0.0     0.984426412849 0.0225546645686
40.0  42.0  -0.2    0.0     0.983452870801 0.0223986678317
42.0  44.0  -0.2    0.0     0.994645387623 0.0225579772701
44.0  46.0  -0.2    0.0     0.992896334282 0.0225487657886
46.0  48.0  -0.2    0.0     0.994883286135 0.0235953313121
48.0  50.0  -0.2    0.0     0.994217888468 0.0237622779623
50.0  55.0  -0.2    0.0     0.996635369431 0.0232356467257
55.0  60.0  -0.2    0.0     0.994858222963 0.0246266825669
60.0  65.0  -0.2    0.0     0.980973976977 0.0238895829507
65.0  70.0  -0.2    0.0     0.985132186346 0.025076511738
70.0  80.0  -0.2    0.0     0.999833416556 0.0257068175023
80.0  90.0  -0.2    0.0     0.99600826313  0.0257597672422
90.0  100.0 -0.2    0.0     1.00846690758  0.0256185866188
100.0 120.0 -0.2    0.0     0.997433232591 0.0242836778322
120.0 200.0 -0.2    0.0     0.996110858387 0.0235377464302
25.0  28.0  0.0     0.2     0.721718360278 0.0366604698755
28.0  30.0  0.0     0.2     0.776098980863 0.0219587694524
30.0  32.0  0.0     0.2     0.860231564509 0.0211309759074
32.0  34.0  0.0     0.2     0.925684829028 0.0220808674712
34.0  36.0  0.0     0.2     0.943390180521 0.0220435094596
36.0  38.0  0.0     0.2     0.948993618144 0.0229976984774
38.0  40.0  0.0     0.2     0.979069314116 0.0227459371323
40.0  42.0  0.0     0.2     0.987488802231 0.0225120673768
42.0  44.0  0.0     0.2     0.990739147979 0.022564973999
44.0  46.0  0.0     0.2     0.989918629672 0.0240100697172
46.0  48.0  0.0     0.2     0.992198929863 0.0228356726888
48.0  50.0  0.0     0.2     0.983624765154 0.0226296556666
50.0  55.0  0.0     0.2     0.993592325135 0.0228187360496
55.0  60.0  0.0     0.2     0.999260533068 0.024014448826
60.0  65.0  0.0     0.2     0.983616018127 0.0246420344616
65.0  70.0  0.0     0.2     0.989997780466 0.029326059171
70.0  80.0  0.0     0.2     0.986372293297 0.0256357151607
80.0  90.0  0.0     0.2     0.982648600639 0.0264032344085
90.0  100.0 0.0     0.2     0.99588082925  0.0246508162669
100.0 120.0 0.0     0.2     0.979588650703 0.0238472978781
120.0 200.0 0.0     0.2     0.981974060843 0.023030050627
25.0  28.0  0.2     0.4     0.75937800363  0.0325702585143
28.0  30.0  0.2     0.4     0.839917210107 0.021099644575
30.0  32.0  0.2     0.4     0.90801337372  0.0218489855588
32.0  34.0  0.2     0.4     0.960689567571 0.0234672078352
34.0  36.0  0.2     0.4     0.963413244167 0.0224702925376
36.0  38.0  0.2     0.4     0.981052220058 0.0229552429418
38.0  40.0  0.2     0.4     0.974292010474 0.0223532433231
40.0  42.0  0.2     0.4     0.99485054834  0.0225791766229
42.0  44.0  0.2     0.4     0.994667524387 0.0224985361795
44.0  46.0  0.2     0.4     0.988654291627 0.0226707996735
46.0  48.0  0.2     0.4     0.993119729275 0.0226142896244
48.0  50.0  0.2     0.4     0.994584516017 0.0227911446171
50.0  55.0  0.2     0.4     0.991856191406 0.0227295045688
55.0  60.0  0.2     0.4     0.997343130734 0.0240334535003
60.0  65.0  0.2     0.4     0.98467433153  0.0247175498287
65.0  70.0  0.2     0.4     0.999034364695 0.0280617223021
70.0  80.0  0.2     0.4     0.982215393183 0.024767420288
80.0  90.0  0.2     0.4     0.981461773763 0.024879933411
90.0  100.0 0.2     0.4     0.99588082925  0.0246508162669
100.0 120.0 0.2     0.4     0.979588650703 0.0238472978781
